DateTime,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose
48:00.0,1.29417,1.29417,1.294,1.29402,1.29422,1.29426,1.29422,1.29426
49:00.0,1.29402,1.29428,1.29401,1.29417,1.29426,1.29426,1.29416,1.29425
50:00.0,1.29417,1.2943,1.29416,1.29427,1.29425,1.29445,1.29422,1.29445
51:00.0,1.29427,1.29444,1.29427,1.29435,1.29445,1.29464,1.29443,1.29443
52:00.0,1.29435,1.2944,1.29419,1.2942,1.29443,1.29457,1.29427,1.29428
53:00.0,1.2942,1.29425,1.2942,1.29422,1.29428,1.2943,1.29428,1.2943
54:00.0,1.29422,1.29422,1.29419,1.29419,1.2943,1.2943,1.29428,1.29428
55:00.0,1.29419,1.29419,1.29406,1.29406,1.29428,1.29432,1.29424,1.29426
56:00.0,1.29406,1.29421,1.294,1.29416,1.29426,1.29436,1.29416,1.29433
57:00.0,1.29416,1.29422,1.29407,1.29413,1.29433,1.29433,1.29426,1.29431
58:00.0,1.29413,1.29413,1.2941,1.2941,1.29431,1.29431,1.29427,1.29427
59:00.0,1.2941,1.2941,1.2938,1.29382,1.29427,1.29427,1.29397,1.29397
00:00.0,1.29382,1.29386,1.29378,1.2938,1.29397,1.29397,1.29394,1.29394
01:00.0,1.2938,1.29393,1.29379,1.2939,1.29394,1.29404,1.29393,1.29401
02:00.0,1.2939,1.29481,1.2939,1.29441,1.29401,1.29493,1.29401,1.29457
03:00.0,1.29441,1.29481,1.29437,1.29472,1.29457,1.29499,1.29449,1.29489
04:00.0,1.29472,1.29472,1.29444,1.29453,1.29489,1.29491,1.29463,1.29477
05:00.0,1.29453,1.29474,1.29445,1.29474,1.29477,1.29495,1.29464,1.29495
06:00.0,1.29474,1.29486,1.29456,1.29456,1.29495,1.29504,1.29479,1.29481
07:00.0,1.29456,1.29469,1.29454,1.29469,1.29481,1.29481,1.29473,1.29473
08:00.0,1.29469,1.29469,1.29465,1.29468,1.29473,1.29474,1.29473,1.29473
09:00.0,1.29468,1.29488,1.29468,1.29486,1.29473,1.29494,1.29473,1.29491
10:00.0,1.29486,1.29516,1.29476,1.29476,1.29491,1.29528,1.29489,1.29489
11:00.0,1.29476,1.29489,1.29453,1.29471,1.29489,1.29493,1.29458,1.29478
12:00.0,1.29471,1.29471,1.29456,1.29467,1.29478,1.29478,1.29464,1.29476
13:00.0,1.29467,1.29471,1.29457,1.29471,1.29476,1.2948,1.29469,1.2948
14:00.0,1.29471,1.29471,1.29458,1.29464,1.2948,1.2948,1.29471,1.29475
15:00.0,1.29464,1.2949,1.29451,1.2949,1.29475,1.29477,1.29464,1.29472
16:00.0,1.2949,1.2949,1.29471,1.29482,1.29472,1.29495,1.29472,1.29482
17:00.0,1.29482,1.29532,1.29474,1.29532,1.29482,1.2954,1.29482,1.2954
18:00.0,1.29532,1.29538,1.29493,1.29512,1.2954,1.29547,1.29499,1.29521
19:00.0,1.29512,1.29526,1.29494,1.2952,1.29521,1.29526,1.29503,1.29526
20:00.0,1.2952,1.29543,1.29512,1.29525,1.29526,1.29538,1.29518,1.29534
21:00.0,1.29525,1.29531,1.29489,1.29514,1.29534,1.29538,1.29493,1.29521
22:00.0,1.29514,1.29514,1.29444,1.29451,1.29521,1.29522,1.2945,1.29462
23:00.0,1.29451,1.29498,1.29439,1.2949,1.29462,1.29503,1.29452,1.29493
24:00.0,1.2949,1.2949,1.29484,1.29485,1.29493,1.29505,1.29493,1.29504
25:00.0,1.29485,1.29518,1.29476,1.29506,1.29504,1.29532,1.29487,1.2953
26:00.0,1.29506,1.29536,1.29502,1.29525,1.2953,1.29546,1.29512,1.29529
27:00.0,1.29525,1.29525,1.29499,1.2951,1.29529,1.29529,1.29503,1.29514
28:00.0,1.2951,1.29512,1.29492,1.29503,1.29514,1.29516,1.29504,1.29509
29:00.0,1.29503,1.29509,1.29502,1.29503,1.29509,1.2951,1.29507,1.29507
30:00.0,1.29503,1.29512,1.29489,1.29512,1.29507,1.2951,1.29501,1.29508
31:00.0,1.29512,1.29512,1.29499,1.29501,1.29508,1.29515,1.29503,1.29504
32:00.0,1.29501,1.29501,1.29483,1.29498,1.29504,1.2951,1.29495,1.2951
33:00.0,1.29498,1.29512,1.29498,1.29512,1.2951,1.29515,1.2951,1.29515
34:00.0,1.29512,1.29512,1.29502,1.29508,1.29515,1.29515,1.2951,1.29512
35:00.0,1.29508,1.29508,1.29506,1.29507,1.29512,1.29512,1.2951,1.29511
36:00.0,1.29507,1.29508,1.29468,1.29476,1.29511,1.29511,1.29486,1.29486
37:00.0,1.29476,1.29491,1.2945,1.29452,1.29486,1.29499,1.29461,1.29462
38:00.0,1.29452,1.29469,1.29446,1.29453,1.29462,1.29481,1.29459,1.29472
39:00.0,1.29453,1.2947,1.2944,1.29443,1.29472,1.29475,1.29454,1.29457
40:00.0,1.29443,1.29471,1.29429,1.29444,1.29457,1.29477,1.29447,1.29461
41:00.0,1.29444,1.29444,1.29424,1.29431,1.29461,1.29461,1.29435,1.2945
42:00.0,1.29431,1.2944,1.29399,1.29402,1.2945,1.29452,1.29413,1.2942
43:00.0,1.29402,1.29421,1.29402,1.29421,1.2942,1.29436,1.2942,1.29429
44:00.0,1.29421,1.29461,1.29421,1.29456,1.29429,1.29463,1.29429,1.29459
45:00.0,1.29456,1.29465,1.29438,1.29453,1.29459,1.29475,1.29447,1.29471
46:00.0,1.29453,1.29455,1.29435,1.29445,1.29471,1.29471,1.29443,1.2945
